dev-category,developer-friendly name,API data type,VARIABLE NAME,SOURCE,NOTES
adjustments,abuse-of-power,string,abushi,psr/sor,This field indicates the number of levels added due to the defendant's abuse of a position of trust or use of a special skill under the Abuse of Trust Chapter Three Adjustment (§3B1.3).  Use variable NOCOMP to determine how many guideline computations are present in each case.  All guideline variables available FY2012-present.
criminal-history,armed-career-criminal.status-applied?,boolean,accap,r,Indicator of whether Armed Career Criminal status was applied under §4B1.4.  This variable is 1 when ACCOFFLV>0.  This variable applies only to cases whose AMENDYR is 1990-present.
court-proceedings,accepts-guidlines,string,accgdln,sor,Explicit statement by the Court on the Statement of Reasons (SOR) regarding acceptance of the guideline factors applied in the PSR.
criminal-history,armed-career-criminal.offense-level,integer,accofflv,psr/sor,Offense level due to the application of Armed Career Criminal status under §4B1.4.  Does not incorporate any adjustment applied for Acceptance of Responsibility (ARMCRIM). This variable applies only to cases whose AMENDYR is 1990 through present.
adjustments,accepts-responsibility,integer,acctresp,psr/sor,The number of levels to be subtracted from combined adjusted offense level due to defendant's Acceptance of Responsibility under §3E1.1.  Note that this variable reflects the highest Acceptance of Responsibility if different values were applied under the Chapter 2/3 computation vs the application of Chapter 4 enhancements such as Career Offender.   The value of (-3) for this variable only applies if AMENDYR is 1992-present.
specific-offense-characteristics,0.adjustment,integer,adj_bhi,psr,"These variables are the Specific Offense Characteristics (SOCs).  These SOCs will add or subtract levels from the corresponding base offense level (BOL).  SOCs are unique to each guideline. There are up to eighteen SOC's (B thru S) applied under each Chapter Two guideline. The letter B represents the 1stSOC under the guideline, the letter C represents the second SOC, etc.   The values of variables change from year to year as well as the location of the SOC (i.e. it may be the 2nd SOC in 2005 and the 3rd SOC in 2006), so AMENDYR should be referenced for all data runs using these variables. Use the variable NOCOMP to determine how many guideline computations are present in each case.SOC information is not useful unless used in conjunction with the specific corresponding guideline.  For example, select cases where the GDLINEHI is 2D1.1 and the amendyr is 2010 and the SOC is ADJ_DHI to see cases where the object of the offense was the distribution of a controlled substance in a prison, correctional facility, or a detention facility.All guideline variables available FY2012-present."
specific-offense-characteristics,1.adjustment,integer,adj_chi,psr,See adj_bhi
specific-offense-characteristics,2.adjustment,integer,adj_dhi,psr,See adj_bhi
specific-offense-characteristics,3.adjustment,integer,adj_ehi,psr,See adj_bhi
specific-offense-characteristics,4.adjustment,integer,adj_fhi,psr,See adj_bhi
specific-offense-characteristics,5.adjustment,integer,adj_ghi,psr,See adj_bhi
specific-offense-characteristics,6.adjustment,integer,adj_hhi,psr,See adj_bhi
specific-offense-characteristics,0.subsection,string,adjl_bhi,psr,"This field identifies which subsection or label was applied within the corresponding Specific Offense Characteristic (SOC).  See ADJ_B1-ADJ_BX etc for more information about SOCs.  There are up to eighteen SOC's (B thru S) applied under each Chapter Two guideline. The letter B represents the 1st SOC under the guideline, the letter C represents the second SOC, etc.  Note that this variable is not applicable for all SOCs (some SOCs do not contain any subsections).  Note that the default label is “A”, so if the SOC value is 0 (not applied), then label will be “A”.  For this reason, in an analysis, include only offenders who received the SOC (i.e , got the +2/+3, etc.) in order to see the breakdown of the labels for offenders who received the adjustment.  If the SOC does not contain any subsection, then ALL of the cases will have the value “A”.The values of variables change from year to year as well as the location of the SOC (i.e. it may be the 2nd SOC in 2005 and the 3rd SOC in 2006), so AMENDYR should be referenced for all data runs using guideline computation variables. Use the variable NOCOMP to determine how many guideline computations are present in each case. SOC information is not useful unless used in conjunction with the specific corresponding guideline.  For example, select cases where the GDLINEHI is 2D1.1 and the amendyr is 2010 and the SOC is ADJ_DHI to see cases where the object of the offense was the distribution of a controlled substance in a prison, correctional facility, or a detention facility.All guideline variables available FY2012-present. "
specific-offense-characteristics,1.subsection,string,adjl_chi,psr,See adjl_bhi
specific-offense-characteristics,2.subsection,string,adjl_dhi,psr,See adjl_bhi
specific-offense-characteristics,3.subsection,string,adjl_ehi,psr,See adjl_bhi
specific-offense-characteristics,4.subsection,string,adjl_fhi,psr,See adjl_bhi
specific-offense-characteristics,5.subsection,string,adjl_ghi,psr,See adjl_bhi
specific-offense-characteristics,6.subsection,string,adjl_hhi,psr,See adjl_bhi
adjustments,adjusted-offense-level,integer,adjoflhi,r,"This field is the adjusted offense level.  This subtotal is derived after the base offense level, all relevant SOCs and chapter three adjustments (except multiple count units and acceptance of responsibility) have been applied. This variable is used to determine the “highest” or primary guideline computation.  Use the variable NOCOMP to determine how many guideline computations are present in each case.All guideline variables available FY2012-present."
demographic,age,integer,age,r,"Identifies the age of the defendant at the time of sentencing.  It is generated based on the date of birth provided either in the PSR or at case submission to USSC, and the sentencing date from the J&C. "
demographic,age-category,string,agecat,r,Categories of age ranges (Recode of AGE for USSC Sourcebook Fiscal Year 2018 on). See YEARS for categories used in Sourcebook prior to Fiscal Year 2018. Field available FY2019-present.
adjustments,aggravated-role,string,aggrolhi,psr/sor,This field contains the number of levels added due to the defendant's aggravating role in the offense pursuant to Aggravated Role Adjustment (§3B1.1). Use the variable NOCOMP to determine how many guideline computations are present in each case.All guideline variables available FY2012-present.
sentence,alternative?,boolean,altdum,r,"Dummy indicator of alternative sentence (home detention, community confinement, or intermittent confinement), as defined in §5C1.1. This variable is “yes"" when any of the alternative fields is coded as “97” to indicate that the alternative was specified, but the exact number of months is unknown."
sentence,alternative-duration,integer,altmo,r,"Total months of alternative incarceration (includes home detention, community confinement, and intermittent confinement). "
guideline,manual-year,integer,amendyr,psr,"The guideline manual used to calculate the guideline calculations.  Use of AMENDYR is critical whenever analysis is performed on guidelines.  Base offense levels, SOCs, etc. change from year to year. NOTE: Starting in FY2015, cases coded as 1994 mean 1989-1994"
sentence,cost.fine,integer,amtfinec,r,The total dollar amount of both fine (FINE) and cost of supervision (COSTSUP) imposed.
sentence,cost.restitution,integer,amtrest,r,Dollar amount of restitution.  Similar to the variable TOTREST. 
sentence,cost.total,integer,amttotal,r,"Sum of the imposed dollar amounts of fine (FINE), cost of supervision (COSTSUP), and restitution (TOTREST)."
criminal-history,armed-career-criminal.accepts-responsibility-adjustment,integer,armcrim,r,"The number of levels to be subtracted due to defendant's Acceptance of Responsibility, (§3E1.1) for offenders who receive the Armed Career Criminal Adjustment (§4B1.4). This field is collected separately from the overall acceptance of responsibility field (ACCTRESP). Note that the offender may be eligible to receive a different number of points for this field vs the Chapter 2 and 3 computation since being an armed career criminal can change an offender’s offense level."
base-offense-level,chapter-2-adjustments,integer,basadjhi,psr,"Base Offense Level (BOL) Adjustment for those Chapter 2 guidelines that require an increase or decrease in levels to the BOL.  One example of a guideline using an adjustment to the BOL is §2D1.2.  The values of this variable may change from year to year, so AMENDYR should be referenced for all data runs using guideline computation variables. Use the variable NOCOMP to determine how many guideline computations are present in each case.BOL information is not useful unless used in conjunction with the specific corresponding guideline.  For example, select cases where the GDLINEHI is §2D1.2 and the amendyr is 2010 to see the adjustments for BASADJHI.All guideline variables available FY2012-present."
base-offense-level,base-offense-level,integer,basehi,psr/sor,"Base Offense Level (BOL) is the starting point for computing a guideline computation.  Note that this field includes any values recorded in the corresponding base adjust fields (see BASADJ1-BASADJX, etc.).  The values of this variable may change from year to year, so AMENDYR should be referenced for all data runs using guideline computation variables. Use the variable NOCOMP to determine how many guideline computations are present in each case.BOL information is not useful unless used in conjunction with the specific corresponding guideline.All guideline variables available FY2012-present."
